status,source,source_label,type,id,title,url,aliases,citation,file,asset_file,metadata_file,saved_at,ignored_at,uncollected_at
saved,slwa,SLWA,image,slwa_b3507746,Wellington Dam Campsite.,https://purl.slwa.wa.gov.au/slwa_b3507746,https://purl.slwa.wa.gov.au/slwa_b3507746 | https://encore.slwa.wa.gov.au/iii/encore/record/C__Rb3507746 | https://purl.slwa.wa.gov.au/slwa_b3507746_1 | https://purl.slwa.wa.gov.au/slwa_b3507746_1.png | https://purl.slwa.wa.gov.au/slwa_b3507746_1.jpg | https://purl.slwa.wa.gov.au/download/slwa_b3507746_1.jpg,Wellington Dam Campsite.. State Library of Western Australia. http://purl.slwa.wa.gov.au/slwa_b3507746,,images/wellington-dam-campsite-slwa_b3507746.jpg,images/wellington-dam-campsite-slwa_b3507746.md,2026-04-02T01:00:23.991Z,,
saved,trove,Trove,newspaper,260382127,Wellington Dam - The Narrogin Observer (WA : 1918 - 1955) - 13 Feb 1948,https://trove.nla.gov.au/newspaper/article/260382127,https://trove.nla.gov.au/newspaper/article/260382127 | https://trove.nla.gov.au/newspaper/article/260382127?searchTerm=Wellington%20Dam | https://nla.gov.au/nla.news-article260382127,"1948 'Wellington Dam', The Narrogin Observer (WA : 1918 - 1955), 13 February, p. 1. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article260382127",newspapers/wellington-dam-the-narrogin-observer-wa-1918-1955-13-feb-1948-260382127.md,,,2026-04-02T02:57:26.290Z,,
saved,trove,Trove,newspaper,85178391,"WELLINGTON DAM OPENING - The Daily News (Perth, WA : 1882 - 1955) - 4 Dec 1933",https://trove.nla.gov.au/newspaper/article/85178391,https://trove.nla.gov.au/newspaper/article/85178391 | https://trove.nla.gov.au/newspaper/article/85178391?searchTerm=Wellington%20Dam | https://nla.gov.au/nla.news-article85178391,"1933 'WELLINGTON DAM OPENING', The Daily News (Perth, WA : 1882 - 1955), 4 December, p. 6. (LATE CITY), viewed 02 Apr 2026, http://nla.gov.au/nla.news-article85178391",newspapers/wellington-dam-opening-the-daily-news-perth-wa-1882-1955-4-dec-1933-85178391.md,,,2026-04-02T02:58:05.064Z,,
saved,trove,Trove,newspaper,161655188,"WELLINGTON DAM SCHEME - National Advocate (Bathurst, NSW : 1889 - 1954) - 20 Aug 1949",https://trove.nla.gov.au/newspaper/article/161655188,https://trove.nla.gov.au/newspaper/article/161655188 | https://trove.nla.gov.au/newspaper/article/161655188?searchTerm=Wellington%20Dam | https://nla.gov.au/nla.news-article161655188,"1949 'WELLINGTON DAM SCHEME', National Advocate (Bathurst, NSW : 1889 - 1954), 20 August, p. 3. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article161655188",newspapers/wellington-dam-scheme-national-advocate-bathurst-nsw-1889-1954-20-aug-1949-161655188.md,,,2026-04-02T02:59:23.916Z,,
saved,trove,Trove,newspaper,208139735,"SWAN RIVER RACES - Kew Boat Christened - Truth (Perth, WA : 1903 - 1931) - 22 Apr 1928",https://trove.nla.gov.au/newspaper/article/208139735,https://trove.nla.gov.au/newspaper/article/208139735 | https://trove.nla.gov.au/newspaper/article/208139735?searchTerm=Swan%20River%20boat | https://nla.gov.au/nla.news-article208139735,"1928 'SWAN RIVER RACES', Truth (Perth, WA : 1903 - 1931), 22 April, p. 5. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article208139735",newspapers/swan-river-races-kew-boat-christened-truth-perth-wa-1903-1931-22-apr-1928-208139735.md,,,2026-04-02T03:01:31.191Z,,
saved,trove,Trove,newspaper,67033732,"SWAN RIVER ROWING CLUB. - NEW BOAT HOUSE. - The Inquirer and Commercial News (Perth, WA : 1855 - 1901) - 20 Jan 1899",https://trove.nla.gov.au/newspaper/article/67033732,https://trove.nla.gov.au/newspaper/article/67033732 | https://trove.nla.gov.au/newspaper/article/67033732?searchTerm=Swan%20River%20boat | https://nla.gov.au/nla.news-article67033732,"1899 'SWAN RIVER ROWING CLUB.', The Inquirer and Commercial News (Perth, WA : 1855 - 1901), 20 January, p. 10. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article67033732",newspapers/swan-river-rowing-club-new-boat-house-the-inquirer-and-commercial-news-perth-wa--67033732.md,,,2026-04-02T03:12:09.847Z,,
saved,trove,Trove,newspaper,67070098,"FREMANTLE. - CENTRAL FREMANTLE. - The Inquirer and Commercial News (Perth, WA : 1855 - 1901) - 26 Apr 1901",https://trove.nla.gov.au/newspaper/article/67070098,https://trove.nla.gov.au/newspaper/article/67070098 | https://trove.nla.gov.au/newspaper/article/67070098?searchTerm=Fremantle | https://nla.gov.au/nla.news-article67070098,"1901 'FREMANTLE.', The Inquirer and Commercial News (Perth, WA : 1855 - 1901), 26 April, p. 10. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article67070098",newspapers/fremantle-central-fremantle-the-inquirer-and-commercial-news-perth-wa-1855-1901--67070098.md,,,2026-04-02T03:26:40.481Z,,
saved,trove,Trove,newspaper,58257929,"FREMANTLE ASSOCIATION - Fremantle v. North Fremantle - Sunday Times (Perth, WA : 1902 - 1955) - 10 May 1925",https://trove.nla.gov.au/newspaper/article/58257929,https://trove.nla.gov.au/newspaper/article/58257929 | https://trove.nla.gov.au/newspaper/article/58257929?searchTerm=Fremantle | https://nla.gov.au/nla.news-article58257929,"1925 'FREMANTLE ASSOCIATION', Sunday Times (Perth, WA : 1902 - 1955), 10 May, p. 1. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article58257929",newspapers/fremantle-association-fremantle-v-north-fremantle-sunday-times-perth-wa-1902-195-58257929.md,,,2026-04-02T03:27:14.123Z,,
saved,trove,Trove,newspaper,57212044,"FREMANTLE ASSOCIATION. - EAST FREMANTLE V. FREMANTLE - Sunday Times (Perth, WA : 1902 - 1955) - 1 Apr 1906",https://trove.nla.gov.au/newspaper/article/57212044,https://trove.nla.gov.au/newspaper/article/57212044 | https://trove.nla.gov.au/newspaper/article/57212044?searchTerm=Fremantle | https://nla.gov.au/nla.news-article57212044,"1906 'FREMANTLE ASSOCIATION.', Sunday Times (Perth, WA : 1902 - 1955), 1 April, p. 2. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article57212044",newspapers/fremantle-association-east-fremantle-v-fremantle-sunday-times-perth-wa-1902-1955-57212044.md,,,2026-04-02T03:27:30.177Z,,
saved,trove,Trove,newspaper,212402278,"FREMANTLE. - The W.A. Record (Perth, WA : 1888 - 1922) - 24 Sept 1921",https://trove.nla.gov.au/newspaper/article/212402278,https://trove.nla.gov.au/newspaper/article/212402278 | https://trove.nla.gov.au/newspaper/article/212402278?searchTerm=Fremantle | https://nla.gov.au/nla.news-article212402278,"1921 'FREMANTLE.', The W.A. Record (Perth, WA : 1888 - 1922), 24 September, p. 7. , viewed 02 Apr 2026, http://nla.gov.au/nla.news-article212402278",newspapers/fremantle-the-w-a-record-perth-wa-1888-1922-24-sept-1921-212402278.md,,,2026-04-02T03:27:33.389Z,,
